"Estación Prueba";"por hora"
Fecha;"PM10 (μg/m³)";"PM2.5 (μg/m³)";"PM4 (μg/m³)";"PM1 (μg/m³)";"Cn (μg/m³)";"Temp Int (Celsius)";"Humedad Int (%)"
"2026-03-15 00:00:00";85.5;45.1;60.5;25.2;840.5;28.5;92.1
"2026-03-15 01:00:00";98.2;55.8;70.8;30.0;935.2;28.2;93.5
"2026-03-15 02:00:00";110.5;68.5;82.2;38.8;1128.9;27.9;95.0
"2026-03-15 03:00:00";120.8;75.1;90.8;45.5;1320.4;27.5;96.2
"2026-03-15 04:00:00";135.5;88.9;105.5;55.4;1515.8;27.3;96.8
"2026-03-15 05:00:00";160.5;110.2;125.1;70.5;1955.3;27.1;97.5
"2026-03-15 06:00:00";210.4;145.5;165.5;95.8;2410.6;27.5;96.0
"2026-03-15 07:00:00";256.6;185.2;210.5;120.1;3120.4;28.8;90.5
"2026-03-15 08:00:00";310.1;225.6;260.2;150.5;3810.8;30.5;82.3
"2026-03-15 09:00:00";380.5;280.1;320.5;190.8;4680.2;32.2;75.4
"2026-03-15 10:00:00";450.2;335.5;380.2;230.9;5435.5;34.8;70.1
"2026-03-15 11:00:00";520.8;385.4;440.8;270.1;6315.7;36.2;66.5
"2026-03-15 12:00:00";580.5;420.8;490.9;300.6;7198.4;37.5;62.8
"2026-03-15 13:00:00";620.9;455.2;530.2;330.3;7885.6;38.1;60.5
"2026-03-15 14:00:00";650.4;480.5;560.8;350.5;8192.1;38.4;59.8
"2026-03-15 15:00:00";610.6;445.9;520.4;320.6;7624.8;38.0;61.2
"2026-03-15 16:00:00";680.8;495.2;570.8;360.2;8465.2;37.1;64.5
"2026-03-15 17:00:00";750.5;550.1;630.5;410.8;9550.6;35.8;70.2
"2026-03-15 18:00:00";820.3;610.8;690.1;460.2;10880.4;34.5;78.4
"2026-03-15 19:00:00";980.6;750.2;820.5;550.5;12650.8;33.2;83.5
"2026-03-15 20:00:00";890.4;680.5;750.2;490.8;11520.3;32.1;86.8
"2026-03-15 21:00:00";750.2;560.2;630.8;400.6;9815.5;31.3;89.2
"2026-03-15 22:00:00";620.5;450.1;520.4;320.5;8128.7;30.6;90.5
"2026-03-15 23:00:00";510.6;360.5;430.2;250.8;6860.4;30.1;91.5
